,name,categories,lat,lng,id,Stadtbezirk,Stadtteil
0,Al-Dar,Syrian Restaurant,52.375288459382894,9.746799578704696,4b79a35af964a52060072fe3,Mitte,Mitte
1,Aspera,Turkish Restaurant,52.37632404941346,9.74842422525218,5308f3ff11d2fafb95ea29ef,Mitte,Mitte
2,Sushi-Do,Sushi Restaurant,52.374703720835235,9.745103933700891,4b7fe29af964a520734230e3,Mitte,Mitte
3,wok n' joy,Vietnamese Restaurant,52.376928,9.751786,57c02040cd10129f93469f9c,Mitte,Mitte
4,Tomo Sushi,Sushi Restaurant,52.378944280463664,9.750228690070665,4d9d97b05c33a35d372404a1,Mitte,Mitte
5,zurück zum glück,Café,52.377119868390885,9.754948733199203,4b83fcb7f964a520ce1931e3,Mitte,Mitte
6,Arc en Ciel,Chinese Restaurant,52.375324139297746,9.746256687200543,4c813a69dc018cfa7fa6c36c,Mitte,Mitte
7,Ristorante Rossini,Italian Restaurant,52.37625012428073,9.747155559822811,4e46b7c4a809fb2fa3eeda33,Mitte,Mitte
8,Block House,Steakhouse,52.374482427279034,9.74487841129303,56d0e479cd10af7328c8e9c0,Mitte,Mitte
9,Staatsoper Hannover,Opera House,52.37345080085405,9.740817546844482,4b5a4066f964a52097b728e3,Mitte,Mitte
10,L'Osteria,Trattoria/Osteria,52.37421440441493,9.744877316824674,4f872ed4e4b0767178c22c84,Mitte,Mitte
11,Shakespeare,Pub,52.37324425462111,9.749858661464527,4b7c57f9f964a520ae8d2fe3,Mitte,Mitte
12,Künstlerhaus Hannover,Art Gallery,52.372759925237524,9.743205678096274,4e00cdd51495692a4bb6ee30,Mitte,Mitte
13,Cumberlandsche Galerie,Theater,52.373287048411825,9.743274450302124,4d02bb65dc45a09338e1dfc6,Mitte,Mitte
14,Pâtisserie Elysée,Pastry Shop,52.37500314384688,9.742984771728514,4b892da1f964a520252132e3,Mitte,Mitte
15,Oscar's Bar,Cocktail Bar,52.3715077677445,9.741151991948229,4b885c8df964a52019f231e3,Mitte,Mitte
16,Crowne Plaza Hannover,Hotel,52.3765934,9.7471507,4b82cc0ef964a5209ae530e3,Mitte,Mitte
17,Opernplatz,Plaza,52.3731803819112,9.740057463140577,4c823bccdc018cfa49f0cc6c,Mitte,Mitte
18,heimW,Café,52.373971529585205,9.743295907974243,4b812dbef964a5207f9930e3,Mitte,Mitte
19,Da Andrea,Italian Restaurant,52.376240175579916,9.754033654339397,4b98e273f964a5203b5435e3,Mitte,Mitte
